,name,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes
2021-22,Nathan Childress,0.0,0,0.0,0,3.3,big-ten,4.0,50.9,5,0.0,0.75,2,0.5,1,0.0,0,,0,3,0,,11,-0.7,0.0,0,0.0,1,10.9,nathan-childress-1,3,2.0,Forward,0.0,0,indiana,0.5,1,1.0,1,26.4,5,0.75,33.3,1,1,0.0,0,14.2,,0.0,0.094
2021-22,Keegan Murray,10.1,52,6.4,68,15.7,big-ten,2.7,20.2,203,2.0,0.614,554,0.554,307,0.343,190,0.747,142,35,35,,1116,13.0,9.8,100,6.6,65,37.8,keegan-murray-1,822,724.0,Forward,2.3,45,iowa,0.3,166,0.398,66,14.9,303,0.638,5.7,39,388,0.621,241,29.7,,8.7,0.311
2021-22,Jordan Bohannon,10.8,65,0.0,0,4.5,big-ten,0.4,4.9,43,0.7,0.541,291,0.385,112,0.309,90,0.889,80,36,36,,968,4.0,0.6,5,2.7,48,15.6,jordan-bohannon-1,395,355.0,Guard,1.6,27,iowa,0.818,238,0.382,91,2.7,48,0.592,8.7,32,53,0.396,21,18.4,,3.4,0.141
2021-22,Kris Murray,10.9,37,5.2,31,9.1,big-ten,2.6,16.6,94,1.1,0.562,259,0.479,124,0.293,76,0.645,49,35,1,,628,6.5,9.5,55,2.3,87,26.1,kris-murray-1,340,320.0,Forward,2.6,29,iowa,0.429,111,0.387,43,13.0,149,0.576,8.4,27,148,0.547,81,24.9,,3.4,0.217
2021-22,Patrick McCaffery,11.2,50,2.0,15,5.7,big-ten,0.9,12.6,88,0.8,0.478,294,0.422,124,0.262,77,0.714,55,32,31,,774,4.8,3.7,26,1.8,23,18.0,patrick-mccaffery-1,336,315.0,Forward,1.4,19,iowa,0.34,100,0.33,33,8.1,114,0.508,6.0,21,194,0.469,91,22.1,,2.7,0.137
2021-22,Tony Perkins,15.3,59,0.5,3,3.9,big-ten,1.9,9.5,56,0.8,0.484,222,0.446,99,0.293,65,0.8,52,36,15,,657,2.0,5.3,32,1.5,62,17.6,tony-perkins-1,267,271.0,Guard,2.8,32,iowa,0.239,53,0.321,17,7.4,88,0.528,11.5,33,169,0.485,82,21.1,,2.3,0.142
2021-22,Filip Rebraca,5.4,26,3.3,24,2.3,big-ten,1.3,19.4,134,1.1,0.537,161,0.534,86,0.36,58,0.603,35,36,36,,768,1.0,9.6,68,1.4,83,15.0,filip-rebraca-1,208,223.0,Forward,1.0,14,iowa,0.037,6,0.167,1,14.5,202,0.552,14.1,31,155,0.548,85,13.9,,2.4,0.125
2021-22,Payton Sandfort,10.9,22,1.2,4,3.5,big-ten,-0.9,12.8,41,0.3,0.534,146,0.418,61,0.11,16,0.938,15,34,0,,357,4.4,7.3,24,1.0,29,18.8,payton-sandfort-1,171,161.0,Guard,0.8,5,iowa,0.637,93,0.366,34,10.0,65,0.557,9.4,16,53,0.509,27,23.1,,1.4,0.155
2021-22,Joe Toussaint,28.4,114,0.2,1,3.7,big-ten,3.7,8.0,45,1.0,0.454,142,0.423,60,0.218,31,0.839,26,36,21,,625,0.0,2.8,16,0.8,55,14.9,joe-toussaint-1,155,205.0,Guard,4.6,51,iowa,0.246,35,0.257,9,5.4,61,0.494,23.8,49,107,0.477,51,16.0,,1.7,0.112
2021-22,Ahron Ulis,22.5,73,0.0,0,0.8,big-ten,1.5,11.4,50,0.6,0.36,100,0.34,34,0.48,48,0.792,38,35,0,,485,-0.7,4.3,19,0.5,41,11.5,ahron-ulis-1,110,149.0,Guard,2.2,19,iowa,0.12,12,0.333,4,7.8,69,0.448,20.7,32,88,0.341,30,15.5,,1.1,0.087
