,name,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes
2021-22,Caleb Houstan,7.4,46,0.8,8,3.1,big-ten,1.2,11.7,108,0.9,0.489,284,0.384,109,0.292,83,0.783,65,34,34,,1088,1.9,3.1,27,1.4,57,11.8,caleb-houstan-1,343,321.0,Guard,1.4,25,michigan,0.595,169,0.355,60,7.5,135,0.53,13.9,52,115,0.426,49,17.9,,2.3,0.084
2021-22,DeVante Jones,29.5,151,0.4,4,5.6,big-ten,2.2,14.1,114,1.0,0.513,272,0.463,126,0.283,77,0.792,61,33,33,,949,3.4,4.6,35,2.2,85,17.9,devante-jones-2,340,388.0,Guard,1.9,31,michigan,0.29,79,0.342,27,9.5,149,0.551,18.7,71,193,0.513,99,20.7,,3.2,0.134
2021-22,Moussa Diabate,6.2,26,3.7,28,2.8,big-ten,1.1,17.0,115,0.9,0.549,216,0.542,117,0.389,84,0.619,52,32,26,,796,1.6,11.9,76,1.6,86,17.6,moussa-diabate-1,289,290.0,Forward,0.8,11,michigan,0.065,14,0.214,3,14.5,191,0.565,15.5,47,202,0.564,114,19.7,,2.5,0.124
2021-22,Terrance Williams II,6.0,16,0.2,1,2.7,big-ten,0.8,13.3,53,0.3,0.545,110,0.455,50,0.3,33,0.788,26,31,1,,469,1.9,5.3,20,1.0,42,12.9,terrance-williamsii-1,146,137.0,Forward,0.5,4,michigan,0.473,52,0.385,20,9.4,73,0.581,10.7,15,58,0.517,30,15.5,,1.3,0.111
2021-22,Brandon Johns Jr,4.5,11,2.3,9,0.7,big-ten,1.6,13.7,48,0.4,0.412,97,0.361,35,0.289,28,0.714,20,31,9,,412,-0.9,3.9,13,0.0,25,8.1,brandon-johnsjr-1,100,97.0,Forward,1.2,8,michigan,0.351,34,0.294,10,9.0,61,0.453,16.0,21,63,0.397,25,16.5,,0.4,0.04
2021-22,Frankie Collins,22.2,43,0.6,2,-0.2,big-ten,2.4,15.9,46,0.4,0.445,82,0.427,35,0.415,34,0.441,15,31,1,,340,-2.5,2.6,7,-0.2,35,8.7,frankie-collins-1,88,102.0,Guard,2.1,12,michigan,0.22,18,0.167,3,9.4,53,0.448,26.3,35,64,0.5,32,20.3,,0.2,0.023
2021-22,Kobe Bufkin,4.7,8,1.1,3,0.6,big-ten,1.9,9.1,23,0.3,0.43,79,0.38,30,0.278,22,0.773,17,28,0,,298,-1.4,3.8,9,0.1,24,9.4,kobe-bufkin-1,85,80.0,Guard,2.2,11,michigan,0.456,36,0.222,8,6.5,32,0.475,14.4,15,43,0.512,22,18.2,,0.4,0.055
2021-22,Jace Howard,8.0,3,3.2,2,0.5,big-ten,3.2,5.4,3,0.1,0.464,14,0.429,6,0.286,4,0.75,3,14,0,,65,-2.6,7.7,4,0.0,15,8.1,jace-howard-1,16,17.0,Guard,1.8,2,michigan,0.5,7,0.143,1,6.5,7,0.503,20.1,4,7,0.714,5,15.9,,0.1,0.066
2021-22,Jaron Faulds,3.4,1,2.1,1,-4.3,big-ten,0.0,6.9,3,0.0,0.417,12,0.417,5,0.667,8,0.375,3,15,0,,51,-4.2,17.2,7,0.0,12,8.6,jaron-faulds-1,13,16.0,Forward,1.2,1,michigan,0.0,0,,0,11.9,10,0.411,11.2,2,12,0.417,5,18.1,,0.1,0.061
2021-22,Zeb Jackson,10.8,2,3.0,1,3.2,big-ten,2.0,20.2,6,0.0,0.65,10,0.5,5,0.0,0,,0,4,0,,35,1.1,0.0,0,0.0,2,13.7,zeb-jackson-1,13,11.0,Guard,0.0,0,michigan,0.6,6,0.5,3,10.4,6,0.65,23.1,3,4,0.5,2,19.2,,0.1,0.082
2021-22,Adrien Nunez,0.0,0,0.0,0,-5.9,big-ten,-1.0,3.8,1,0.0,0.357,7,0.286,2,0.714,5,0.6,3,10,0,,31,-4.9,4.0,1,0.0,4,2.9,adrien-nunez-1,8,7.0,Guard,0.0,0,michigan,0.857,6,0.167,1,3.9,2,0.427,9.6,1,1,1.0,1,17.3,,0.0,0.018
2021-22,Isaiah Barnes,0.0,0,0.0,0,0.2,big-ten,3.0,19.6,1,0.0,,0,,0,,0,,0,2,0,,6,-2.9,0.0,0,0.0,0,2.8,isaiah-barnes-1,0,0.0,Guard,0.0,0,michigan,,0,,0,10.1,1,,,0,0,,0,0.0,,0.0,0.03
2021-22,Ian Burns,49.6,1,0.0,0,-11.1,big-ten,-3.6,0.0,0,0.0,0.0,1,0.0,0,0.0,0,,0,2,0,,3,-7.5,0.0,0,0.0,0,-1.7,ian-burns-3,0,1.0,Guard,0.0,0,michigan,1.0,1,0.0,0,0.0,0,0.0,0.0,0,0,,0,17.3,,0.0,-0.104
2021-22,Jamison Battle,6.0,28,1.2,12,3.6,big-ten,-0.5,19.4,174,0.9,0.541,413,0.45,186,0.191,79,0.759,60,29,29,,1064,4.1,1.0,9,1.9,54,18.3,jamison-battle-1,507,433.0,Forward,0.6,11,minnesota,0.496,205,0.366,75,10.2,183,0.563,8.0,39,208,0.534,111,25.7,,2.8,0.105
2021-22,Payton Willis,25.9,124,1.4,14,8.3,big-ten,1.8,13.3,118,1.1,0.577,357,0.473,169,0.224,80,0.625,50,29,28,,1054,6.5,2.3,21,2.9,49,22.4,payton-willis-1,462,468.0,Guard,2.4,42,minnesota,0.485,173,0.428,74,7.8,139,0.585,11.6,52,184,0.516,95,23.7,,4.0,0.153
2021-22,E.J. Stephens,9.7,45,0.2,2,1.0,big-ten,0.5,9.7,76,0.7,0.502,250,0.42,105,0.22,55,0.818,45,29,28,,926,0.5,1.9,15,1.0,46,13.0,ej-stephens-1,296,282.0,Guard,1.8,27,minnesota,0.424,106,0.387,41,5.8,91,0.536,11.5,36,144,0.444,64,18.8,,1.7,0.072
2021-22,Luke Loewe,13.0,72,0.1,1,-1.6,big-ten,-0.3,6.6,58,0.5,0.473,226,0.398,90,0.177,40,0.75,30,30,30,,1049,-1.4,1.5,13,0.8,66,9.1,luke-loewe-1,244,255.0,Guard,1.0,17,minnesota,0.451,102,0.333,34,4.0,71,0.498,11.2,31,124,0.452,56,14.7,,1.3,0.049
2021-22,Sean Sutherlin,9.5,29,1.5,9,1.1,big-ten,1.8,17.0,88,0.7,0.49,150,0.48,72,0.52,78,0.705,55,28,4,,616,-0.6,2.7,14,0.7,53,14.9,sean-sutherlin-1,202,197.0,Guard,2.3,23,minnesota,0.087,13,0.231,3,9.8,102,0.54,14.6,32,137,0.504,69,19.9,,1.4,0.089
2021-22,Eric Curry,13.9,50,2.8,19,1.2,big-ten,2.1,20.0,121,0.9,0.415,199,0.412,82,0.246,49,0.714,35,26,25,,720,-0.9,4.8,29,0.2,66,13.5,eric-curry-1,200,221.0,Forward,2.0,23,minnesota,0.06,12,0.083,1,12.3,150,0.45,12.6,32,187,0.433,81,19.7,,1.2,0.065
2021-22,Charlie Daniels,12.6,23,5.2,16,-0.6,big-ten,3.1,11.6,32,0.4,0.432,44,0.432,19,0.182,8,0.625,5,29,5,,328,-3.7,7.6,21,0.0,51,8.4,charlie-daniels-1,43,65.0,Forward,1.9,10,minnesota,0.023,1,0.0,0,9.6,53,0.45,30.5,21,43,0.442,19,11.7,,0.4,0.043
2021-22,Treyton Thompson,6.3,5,4.2,6,-1.2,big-ten,1.2,10.9,14,0.1,0.567,30,0.467,14,0.167,5,0.6,3,19,1,,152,-2.5,6.2,8,0.1,24,10.7,treyton-thompson-1,37,38.0,Center,1.2,3,minnesota,0.5,15,0.4,6,8.6,22,0.571,19.8,8,15,0.533,8,14.8,,0.3,0.07
2021-22,Abdoulaye Thiam,7.7,2,0.0,0,-12.1,big-ten,-1.2,7.3,3,0.0,0.25,16,0.25,4,0.25,4,1.0,4,15,0,,49,-11.0,2.4,1,-0.2,8,-1.3,abdoulaye-thiam-1,12,13.0,Guard,2.5,2,minnesota,0.375,6,0.0,0,4.8,4,0.335,21.8,5,10,0.4,4,26.1,,-0.1,-0.111
2021-22,Will Ramberg,3.6,1,0.0,0,-3.9,big-ten,-0.1,4.9,2,0.0,0.4,5,0.4,2,0.6,3,0.333,1,13,0,,48,-3.8,4.9,2,0.0,2,3.2,will-ramberg-1,5,6.0,Guard,1.3,1,minnesota,0.2,1,0.0,0,4.9,4,0.389,23.7,2,4,0.5,2,9.8,,0.0,-0.009
2021-22,Danny Ogele,0.0,0,10.3,4,-8.6,big-ten,0.3,20.3,7,0.1,0.125,8,0.125,1,0.0,0,,0,13,0,,41,-8.9,5.8,2,-0.2,3,1.5,danny-ogele-2,2,3.0,Forward,1.5,1,minnesota,0.25,2,0.0,0,13.0,9,0.125,20.0,2,6,0.167,1,13.6,,-0.1,-0.081
2021-22,Joey Kern,0.0,0,0.0,0,-17.1,big-ten,-1.8,39.6,1,0.0,0.0,1,0.0,0,0.0,0,,0,2,0,,3,-15.3,0.0,0,0.0,0,-10.2,joey-kern-1,0,0.0,Guard,0.0,0,minnesota,0.0,0,,0,19.7,1,0.0,0.0,0,1,0.0,0,18.6,,0.0,-0.237
2021-22,Bryce McGowens,8.6,43,1.0,10,1.3,big-ten,-1.0,14.6,139,0.6,0.453,397,0.403,160,0.491,195,0.831,162,31,31,,1032,2.3,2.4,22,1.6,62,16.9,bryce-mcgowens-1,522,486.0,Guard,1.2,22,nebraska,0.368,146,0.274,40,8.7,161,0.533,11.7,65,251,0.478,120,27.2,,2.2,0.086
2021-22,Alonzo Verge Jr.,42.8,169,0.9,7,4.1,big-ten,1.3,15.4,125,0.9,0.48,366,0.456,167,0.344,126,0.77,97,31,31,,881,2.8,1.9,15,1.3,63,21.1,alonzo-vergejr-1,448,496.0,Guard,3.2,50,nebraska,0.148,54,0.315,17,8.9,140,0.526,19.6,104,312,0.481,150,30.5,,2.2,0.102
2021-22,Derrick Walker,11.1,45,3.7,29,3.3,big-ten,1.1,16.6,128,0.7,0.683,189,0.683,129,0.328,62,0.726,45,32,32,,839,2.2,8.8,65,2.2,93,20.0,derrick-walker-1,303,308.0,Forward,1.6,24,nebraska,0.005,1,0.0,0,12.8,193,0.694,19.5,53,188,0.686,129,16.4,,2.9,0.139
2021-22,C.J. Wilcher,6.3,26,0.4,3,2.3,big-ten,0.0,7.7,56,0.3,0.593,199,0.462,92,0.176,35,0.629,22,32,2,,788,2.3,2.5,17,1.1,42,12.8,cj-wilcher-1,258,231.0,Guard,1.8,25,nebraska,0.643,128,0.406,52,5.2,73,0.598,12.6,31,71,0.563,40,15.9,,1.4,0.07
2021-22,Kobe Webster,12.2,39,0.0,0,-1.1,big-ten,-0.7,7.6,42,0.2,0.479,168,0.375,63,0.214,36,0.667,24,30,1,,600,-0.3,0.4,2,0.3,38,9.3,kobe-webster-1,185,177.0,Guard,1.4,15,nebraska,0.577,97,0.361,35,4.1,44,0.5,13.1,28,71,0.394,28,18.0,,0.4,0.029
2021-22,Lat Mayen,5.5,22,1.5,10,-1.6,big-ten,-0.2,14.7,99,0.4,0.473,168,0.387,65,0.202,34,0.735,25,31,31,,733,-1.4,3.0,19,0.2,75,8.4,lat-mayen-1,184,178.0,Forward,1.0,13,nebraska,0.577,97,0.299,29,9.0,118,0.5,14.4,31,71,0.507,36,14.9,,0.6,0.034
2021-22,Keisei Tominaga,7.0,18,0.2,1,2.4,big-ten,0.7,8.1,37,0.3,0.487,158,0.373,59,0.12,19,0.842,16,30,11,,494,1.7,1.8,8,0.6,20,13.2,keisei-tominaga-1,170,155.0,Guard,2.6,23,nebraska,0.69,109,0.33,36,5.1,45,0.509,5.6,10,49,0.469,23,18.2,,0.8,0.067
2021-22,Trey McGowens,10.2,26,1.0,4,1.2,big-ten,2.5,13.1,55,0.4,0.449,88,0.409,36,0.659,58,0.621,36,17,16,,455,-1.3,3.5,14,0.2,48,11.1,trey-mcgowens-1,115,123.0,Guard,3.3,27,nebraska,0.216,19,0.368,7,8.4,69,0.498,18.4,26,69,0.42,29,15.8,,0.6,0.055
2021-22,Eduardo Andre,4.9,9,5.0,16,-1.4,big-ten,2.1,22.4,71,0.5,0.571,63,0.571,36,0.667,42,0.524,22,30,0,,345,-3.5,8.3,25,0.0,63,12.7,eduardo-andre-1,94,99.0,Center,2.7,17,nebraska,0.016,1,0.0,0,15.5,96,0.567,28.5,33,62,0.581,36,17.0,,0.5,0.063
2021-22,Wilhelm Breidenbach,7.0,6,4.1,6,-2.0,big-ten,2.7,13.9,20,0.2,0.397,39,0.359,14,0.308,12,0.5,6,10,0,,157,-4.7,5.1,7,-0.1,33,8.9,wilhelm-breidenbach-1,37,40.0,Forward,3.5,10,nebraska,0.513,20,0.15,3,9.6,27,0.414,13.5,7,19,0.579,11,16.7,,0.1,0.034
2021-22,Trevor Lakes,4.8,2,1.5,1,-4.3,big-ten,-1.1,9.2,6,0.0,0.393,14,0.286,4,0.143,2,0.5,1,8,0,,71,-3.2,1.6,1,0.0,7,5.2,trevor-lakes-1,12,12.0,Forward,1.6,2,nebraska,0.929,13,0.231,3,5.5,7,0.401,6.3,1,1,1.0,1,11.4,,0.0,0.012
2021-22,Keon Edwards,3.1,2,0.0,0,-9.9,big-ten,-2.5,9.1,9,0.0,0.214,21,0.19,4,0.095,2,0.5,1,19,5,,107,-7.4,5.3,5,-0.2,12,-1.8,keon-edwards-1,10,13.0,Forward,1.0,2,nebraska,0.714,15,0.067,1,7.3,14,0.228,18.6,5,6,0.5,3,12.8,,-0.2,-0.078
2021-22,Jackson Cronin,0.0,0,0.0,0,0.5,big-ten,-2.0,7.3,1,0.0,0.7,5,0.6,3,0.4,2,0.0,0,12,0,,15,2.5,0.0,0,0.0,0,15.9,jackson-cronin-1,7,5.0,Guard,0.0,0,nebraska,0.2,1,1.0,1,3.7,1,0.588,0.0,0,4,0.5,2,20.1,,0.0,0.06
2021-22,Chris McGraw,19.6,1,0.0,0,-2.6,big-ten,-1.1,0.0,0,0.0,,0,,0,,0,,0,6,0,,8,-1.5,0.0,0,0.0,0,4.8,chris-mcgraw-1,0,1.0,Guard,0.0,0,nebraska,,0,,0,0.0,0,,,0,0,,0,0.0,,0.0,0.029
2021-22,Pete Nance,22.0,81,5.2,34,9.3,big-ten,2.7,23.4,162,1.2,0.56,334,0.497,166,0.246,82,0.768,63,30,29,,817,6.6,4.3,32,2.6,62,24.7,pete-nance-1,437,406.0,Forward,0.6,9,northwestern,0.278,93,0.452,42,13.4,194,0.586,10.6,44,241,0.515,124,26.1,,3.8,0.186
2021-22,Boo Buie,29.8,134,0.4,3,3.6,big-ten,0.1,8.3,64,0.9,0.48,373,0.397,148,0.263,98,0.796,78,31,30,,914,3.6,1.7,14,2.0,58,17.8,boo-buie-1,436,440.0,Guard,1.5,24,northwestern,0.488,182,0.341,62,4.8,78,0.52,12.1,58,191,0.45,86,26.7,,2.8,0.124
2021-22,Ryan Young,12.0,29,2.3,10,3.7,big-ten,0.9,18.5,83,0.7,0.562,186,0.559,104,0.548,102,0.676,69,31,1,,530,2.8,9.8,48,1.6,62,23.0,ryan-young-2,278,263.0,Guard,1.2,11,northwestern,0.032,6,0.167,1,14.0,131,0.593,13.6,37,180,0.572,103,26.2,,2.3,0.172
2021-22,Chase Audige,13.8,46,1.5,8,1.9,big-ten,2.9,13.0,71,1.1,0.39,260,0.338,88,0.177,46,0.717,33,24,24,,644,-0.9,5.1,30,0.0,63,13.0,chase-audige-1,236,238.0,Guard,3.8,42,northwestern,0.415,108,0.25,27,8.9,101,0.419,10.2,32,152,0.401,61,24.9,,1.1,0.068
2021-22,Ty Berry,9.2,34,0.7,4,0.9,big-ten,1.3,11.3,66,0.8,0.522,201,0.388,78,0.149,30,0.667,20,31,17,,686,-0.3,0.6,4,0.8,59,11.8,ty-berry-1,230,199.0,Guard,1.8,21,northwestern,0.692,139,0.388,54,5.8,70,0.534,8.9,21,62,0.387,24,17.6,,1.6,0.092
2021-22,Robbie Beran,5.4,20,4.2,23,2.4,big-ten,2.2,17.9,103,1.1,0.564,156,0.468,73,0.179,28,0.75,21,31,29,,680,0.1,4.6,29,1.0,75,14.5,robbie-beran-1,197,180.0,Forward,1.8,21,northwestern,0.526,82,0.366,30,11.0,132,0.582,11.0,21,74,0.581,43,14.3,,2.1,0.123
2021-22,Ryan Greer,19.1,66,0.0,0,0.5,big-ten,1.6,9.5,48,0.6,0.459,111,0.396,44,0.171,19,0.947,18,31,2,,596,-1.1,2.0,11,0.6,27,10.6,ryan-greer-1,120,140.0,Guard,1.7,17,northwestern,0.315,35,0.4,14,5.6,59,0.5,15.5,22,76,0.395,30,12.2,,1.2,0.082
2021-22,Julian Roper II,8.1,28,3.0,14,2.2,big-ten,2.8,13.5,67,0.9,0.421,114,0.342,39,0.246,28,0.714,20,29,15,,586,-0.6,5.9,32,0.5,50,11.4,julian-roperii-1,116,130.0,Guard,2.5,25,northwestern,0.447,51,0.353,18,9.5,99,0.456,9.3,13,63,0.333,21,12.2,,1.4,0.094
2021-22,Elyjah Williams,10.4,21,1.0,3,-0.2,big-ten,1.5,12.6,40,0.4,0.5,89,0.472,42,0.18,16,0.438,7,29,1,,373,-1.7,5.8,20,0.2,38,10.4,elyjah-williams-1,96,99.0,Forward,1.7,11,northwestern,0.258,23,0.217,5,9.1,60,0.497,17.2,20,66,0.561,37,16.0,,0.6,0.067
2021-22,Casey Simmons,7.3,13,0.8,2,-1.7,big-ten,1.3,8.7,23,0.4,0.444,63,0.413,26,0.349,22,0.545,12,27,7,,312,-3.1,6.3,18,0.0,30,8.4,casey-simmons-1,68,74.0,Guard,2.2,12,northwestern,0.254,16,0.25,4,7.4,41,0.463,17.9,16,47,0.468,22,14.7,,0.4,0.053
2021-22,Matthew Nicholson,14.6,5,5.7,3,0.2,big-ten,2.6,26.8,15,0.1,0.692,13,0.692,9,1.308,17,0.529,9,15,0,,66,-2.4,8.2,5,0.2,14,20.4,matthew-nicholson-1,27,27.0,Center,0.9,1,northwestern,0.0,0,,0,17.1,20,0.641,19.2,5,13,0.692,9,20.2,,0.3,0.175
2021-22,Brooks Barnhizer,23.1,11,4.6,3,-0.3,big-ten,3.0,8.6,6,0.1,0.269,26,0.231,6,0.231,6,0.833,5,11,0,,82,-3.4,2.6,2,0.0,5,11.3,brooks-barnhizer-1,19,24.0,Guard,4.3,6,northwestern,0.423,11,0.182,2,5.5,8,0.329,9.4,3,15,0.267,4,19.8,,0.1,0.051
2021-22,Roy Dixon III,26.7,2,9.6,1,14.2,big-ten,10.4,0.0,0,0.0,0.5,2,0.5,1,0.0,0,,0,6,0,,13,3.8,0.0,0,0.0,1,12.6,roy-dixoniii-1,2,3.0,Guard,4.5,1,northwestern,0.0,0,,0,0.0,0,0.5,33.3,1,2,0.5,1,11.8,,0.0,0.072
2021-22,Dylan Sandhu,0.0,0,0.0,0,-32.6,big-ten,-0.7,0.0,0,0.0,,0,,0,,0,,0,3,0,,1,-31.9,0.0,0,0.0,1,-17.1,dylan-sandhu-1,0,0.0,Guard,0.0,0,northwestern,,0,,0,0.0,0,,,0,0,,0,0.0,,0.0,0.03
2021-22,E.J. Liddell,17.0,80,8.5,83,11.8,big-ten,3.3,19.3,182,1.6,0.546,414,0.49,203,0.534,221,0.765,169,32,32,,1062,8.5,8.9,72,4.6,80,30.5,ej-liddell-1,621,612.0,Forward,1.0,18,ohio-state,0.297,123,0.374,46,14.5,254,0.598,12.9,77,291,0.54,157,30.5,,6.3,0.236
2021-22,Malaki Branham,14.5,64,1.0,9,5.7,big-ten,0.9,10.5,89,0.8,0.556,321,0.498,160,0.299,96,0.833,80,32,31,,948,4.8,3.5,25,2.9,56,20.4,malaki-branham-1,437,411.0,Guard,1.5,23,ohio-state,0.277,89,0.416,37,7.3,114,0.596,12.8,54,232,0.53,123,24.1,,3.6,0.154
2021-22,Zed Key,5.6,15,4.5,24,2.5,big-ten,0.7,20.5,105,0.7,0.562,169,0.562,95,0.367,62,0.581,36,29,23,,575,1.7,13.3,58,1.4,69,20.4,zed-key-1,226,226.0,Forward,0.6,6,ohio-state,0.0,0,,0,17.2,163,0.569,14.3,33,169,0.562,95,21.9,,2.1,0.146
2021-22,Jamari Wheeler,18.0,91,0.2,2,4.0,big-ten,2.6,10.0,81,0.9,0.572,166,0.458,76,0.217,36,0.861,31,31,31,,914,1.4,2.4,17,1.5,75,13.3,jamari-wheeler-1,221,245.0,Guard,2.6,39,ohio-state,0.59,98,0.388,38,6.5,98,0.603,21.8,51,68,0.559,38,13.9,,2.5,0.108
2021-22,Kyle Young,10.5,33,2.6,15,6.4,big-ten,2.1,18.1,99,0.7,0.549,154,0.5,77,0.429,66,0.788,52,27,4,,614,4.4,7.7,36,1.7,50,19.6,kyle-young-3,221,224.0,Forward,1.3,13,ohio-state,0.331,51,0.294,15,13.3,135,0.596,13.5,29,103,0.602,62,19.0,,2.4,0.159
2021-22,Justin Ahrens,7.2,26,0.2,1,1.3,big-ten,0.4,12.2,70,0.5,0.515,133,0.346,46,0.18,24,0.75,18,32,19,,644,0.9,1.0,5,0.7,42,8.8,justin-ahrens-1,155,144.0,Forward,0.9,9,ohio-state,0.955,127,0.354,45,7.1,75,0.537,13.2,22,6,0.167,1,14.0,,1.1,0.07
2021-22,Cedric Russell,6.5,13,0.0,0,1.9,big-ten,-0.1,5.5,19,0.1,0.576,105,0.438,46,0.086,9,0.667,6,30,0,,386,2.0,0.0,0,0.6,22,10.6,cedric-russell-1,127,107.0,Guard,0.6,4,ohio-state,0.638,67,0.433,29,3.0,19,0.581,12.1,15,38,0.447,17,17.5,,0.7,0.073
2021-22,Meechie Johnson Jr.,12.1,31,0.7,3,-1.3,big-ten,0.9,7.8,32,0.4,0.421,120,0.308,37,0.158,19,0.737,14,26,5,,461,-2.2,2.3,8,-0.2,40,6.5,meechie-johnsonjr-1,115,120.0,Guard,2.3,17,ohio-state,0.7,84,0.321,27,5.3,40,0.446,21.3,35,36,0.278,10,19.3,,0.2,0.019
2021-22,Eugene Brown III,5.7,14,1.7,7,1.9,big-ten,1.5,11.2,44,0.3,0.494,77,0.442,34,0.299,23,0.609,14,26,10,,441,0.4,5.7,19,0.4,42,9.1,eugene-browniii-1,90,94.0,Guard,0.7,5,ohio-state,0.455,35,0.229,8,8.7,63,0.512,13.7,14,42,0.619,26,12.6,,0.8,0.07
2021-22,Joey Brunk,5.6,6,3.0,6,3.3,big-ten,2.9,20.5,39,0.3,0.63,46,0.63,29,0.283,13,0.769,10,28,5,,214,0.3,3.7,6,0.4,28,16.9,joey-brunk-1,68,60.0,Forward,1.7,6,ohio-state,0.0,0,,0,12.7,45,0.652,16.1,10,46,0.63,29,15.8,,0.7,0.136
2021-22,Jimmy Sotos,30.2,25,1.5,2,4.4,big-ten,1.3,9.2,12,0.1,0.684,19,0.526,10,0.526,10,0.8,8,19,0,,146,3.1,0.9,1,0.5,17,15.9,jimmy-sotos-1,34,44.0,Guard,0.8,2,ohio-state,0.526,10,0.6,6,5.4,13,0.716,20.2,6,9,0.444,4,11.1,,0.6,0.161
2021-22,Justice Sueing,0.0,0,0.0,0,-9.8,big-ten,-3.3,21.7,6,0.0,0.385,13,0.385,5,0.154,2,1.0,2,2,0,,31,-6.5,4.2,1,0.0,3,10.1,justice-sueing-2,12,11.0,Forward,2.0,1,ohio-state,0.308,4,0.0,0,13.7,7,0.43,12.5,2,9,0.556,5,28.0,,0.0,0.026
2021-22,Harrison Hookfin,25.4,2,0.0,0,9.7,big-ten,5.0,0.0,0,0.0,0.333,3,0.333,1,0.0,0,,0,7,0,,14,4.7,18.8,2,0.0,1,17.3,harrison-hookfin-1,2,4.0,Forward,4.4,1,ohio-state,0.0,0,,0,8.7,2,0.333,0.0,0,3,0.333,1,11.6,,0.0,0.142
2021-22,Jalen Pickett,26.0,135,1.9,19,5.7,big-ten,2.5,11.8,115,1.3,0.482,383,0.42,161,0.154,59,0.746,44,31,31,,1154,3.2,2.0,18,2.3,59,17.3,jalen-pickett-1,413,435.0,Guard,1.9,35,penn-state,0.384,147,0.32,47,7.0,133,0.502,11.8,55,236,0.483,114,22.5,,3.5,0.122
2021-22,Sam Sessoms,22.4,82,0.3,2,2.7,big-ten,1.1,10.7,78,0.8,0.503,310,0.448,139,0.194,60,0.783,47,31,10,,857,1.5,2.5,17,1.2,55,16.3,sam-sessoms-1,359,352.0,Guard,1.9,25,penn-state,0.261,81,0.42,34,6.7,95,0.53,16.9,69,229,0.459,105,26.5,,2.1,0.096
2021-22,Seth Lundy,4.6,21,2.4,20,2.6,big-ten,1.7,14.7,121,1.2,0.5,304,0.395,120,0.197,60,0.867,52,30,30,,971,0.9,3.2,25,0.8,68,13.9,seth-lundy-1,356,315.0,Forward,2.0,30,penn-state,0.605,184,0.348,64,9.1,146,0.535,15.9,63,120,0.467,56,22.7,,2.1,0.085
2021-22,John Harrar,10.3,38,1.0,7,6.8,big-ten,1.2,29.2,207,1.3,0.64,197,0.64,126,0.579,114,0.667,76,31,31,,837,5.6,16.9,113,3.1,70,26.4,john-harrar-1,328,346.0,Forward,1.2,16,penn-state,0.0,0,,0,23.2,320,0.653,16.6,50,197,0.64,126,20.0,,4.4,0.208
2021-22,Myles Dread,10.0,43,0.3,2,4.4,big-ten,3.4,9.7,69,0.9,0.579,158,0.405,64,0.095,15,0.667,10,31,20,,836,1.0,2.1,14,1.3,69,11.8,myles-dread-1,193,184.0,Guard,2.4,31,penn-state,0.854,135,0.407,55,6.0,83,0.584,12.2,23,23,0.391,9,12.5,,2.2,0.104
2021-22,Dallion Johnson,4.7,10,0.0,0,-0.4,big-ten,0.1,8.7,31,0.2,0.476,104,0.346,36,0.077,8,0.875,7,29,14,,422,-0.6,0.9,3,0.3,22,7.3,dallion-johnson-1,106,93.0,Guard,0.6,4,penn-state,0.712,74,0.365,27,4.9,34,0.492,10.0,12,30,0.3,9,15.8,,0.5,0.047
2021-22,Greg Lee,6.0,10,0.7,2,0.3,big-ten,1.0,21.2,63,0.4,0.443,97,0.402,39,0.165,16,0.75,12,16,10,,350,-0.8,8.9,25,0.2,36,11.5,greg-lee-1,98,100.0,Guard,0.7,4,penn-state,0.34,33,0.242,8,15.3,88,0.468,14.0,17,64,0.484,31,19.3,,0.6,0.07
2021-22,Jalanni White,6.2,9,3.5,9,-0.1,big-ten,2.8,18.0,45,0.4,0.528,54,0.519,28,0.278,15,0.533,8,28,1,,295,-2.8,11.0,26,0.4,54,13.0,jalanni-white-1,65,72.0,Forward,1.5,7,penn-state,0.148,8,0.125,1,14.6,71,0.532,16.4,12,46,0.587,27,13.8,,0.8,0.107
2021-22,Jaheam Cornwall,7.4,16,0.6,2,-4.4,big-ten,0.6,6.9,23,0.2,0.303,76,0.237,18,0.211,16,0.813,13,25,8,,395,-4.9,0.0,0,-0.5,20,1.2,jaheam-cornwall-1,59,60.0,Guard,1.0,6,penn-state,0.724,55,0.182,10,3.5,23,0.353,18.5,19,21,0.381,8,14.5,,-0.2,-0.025
